ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=data engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105178154, radiusInKms=40.2335}]}}, facets={}}",3725462665
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=python developer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106164952, radiusInKms=40.2335}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2, urn:li:workplaceType:1, urn:li:workplaceType:3]}, employmentStatuses={selectedValues=[FULL_TIME, PART_TIME, CONTRACT, INTERNSHIP]}}}",3683130009
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=python developer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106164952, radiusInKms=40.2335}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}, employmentStatuses={selectedValues=[FULL_TIME, PART_TIME, CONTRACT, INTERNSHIP]}}}",3529641553
"{smartExpansionEnabled=true, channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=python developer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={}}",1724790498
"{smartExpansionEnabled=true, channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=python developer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106164952}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}, employmentStatuses={selectedValues=[FULL_TIME, CONTRACT, PART_TIME, INTERNSHIP]}}}",1724790466
