Name,Url,Authority,Started On,Finished On,License Number
HTML ,https://www.sololearn.com/Certificate/1014-15023464/pdf/,SoloLearn,Aug 2020,,
Python core,https://api2.sololearn.com/v2/certificates/CC-85WKTXYA/image/png,Sololearn,Feb 2024,,
Stock market ,,Varsity By Zerodha®,Feb 2022,,
Postman API Fundamentals Student Expert,https://api.badgr.io/public/assertions/EXKDBRWWSoW421K-V-ji7g,Canvas Credentials (Badgr),Jun 2024,,666383a4039bf15a88486f19
SQL,https://www.sololearn.com/certificates/CC-E4SRSMET,Sololearn,,,
Fundamentals of the Databricks Lakehouse Platform Accreditation,,Databricks,Sep 2024,,
